,Composition,Formation Energy Per Atom,Corrected Energy
126911,Al18Cu1Rh5Tb1Y3,-0.7708,-153.9563
126912,Al2Lu1Pt4Tb3Zn2,-1.0677,-65.5313
126913,Ho4Li3Pt4Zn1,-0.923,-60.6752
126914,B15C1Ho1Yb3,-0.505,-128.7191
126915,Cd1Cu2Ho1Ir1Zn1,-0.3969,-26.1832
126916,La1Sb2Te2Th1,-1.3935,-35.2555
126917,B24Dy2Ho6Re3Ru1,-0.6578,-267.3038
126918,In2Pr3Rh3Sm1,-0.6634,-52.628
126919,Co1H6Zr1,-0.3384,-38.7196
126920,B2C4Dy6N2,-0.8712,-106.7769
126921,Au1Ba4O8Tb1,-2.5964,-91.5171
126922,Al11In1Na4Se20,-1.2013,-162.4077
126923,Co2Mn2P4Tc3W1,-0.5459,-104.7847
126924,Co8Er10Sn20,-0.4561,-200.0652
126925,Au1Cd1Pt4Si1,-0.4257,-36.8854
126926,Co8Mo3N4Nb5Ta8,-0.5698,-284.0714
126927,La4Mn1Pd2Sb8,-0.9447,-86.4682
126928,Fe4P2Si2Ta4,-0.7395,-111.8629
126929,La1Nd2Pr1Rh4Sn8,-0.7625,-92.9872
126930,Nd4Pr4Rh8Sn20Y2,-0.7427,-218.4581
126931,Ir16Lu5P12Zr3,-1.0268,-291.5887
126932,Br18Pr1Ta6,-1.4593,-141.8744
126933,Dy6In8Y2,-0.4688,-70.0886
126934,Mo2Nd8O24Tc2,-3.0643,-309.6251
126935,Er3Pb16Pr8Tb9,-0.5873,-174.2059
126936,B24Er4Os1Pr4Re3,-0.5869,-267.3893
126937,F24In4Na4Sr4,-3.3575,-189.8012
126938,Ir8Mg1Y3,-0.7,-100.1075
126939,Al24Er1Nd1Os8Y4,-0.5898,-237.3263
126940,Ga6Hf6Pt5Rh1,-0.9455,-132.6495
126941,Fe2Hg1O24P6Sb2,-2.2978,-257.1566
126942,O12Os3Re1,-1.6502,-131.9058
126943,Co16Ho4Lu1P12Tc3,-0.9362,-266.3288
126944,Cu1Sn9Ti6Zr6,-0.4807,-149.42
126945,Al2Dy6Ho4Sb4,-0.7772,-82.4131
126946,Bi3Ga1Ge1Sn3Zr10,-0.6074,-127.7607
126947,Er6Hf2P12Rh16,-1.164,-272.0117
126948,B4Nb6Os10,-0.348,-206.559
126949,B2Nd2Pt3Rh4Sn1,-0.7517,-83.5955
126950,Cu1Pt4Rh1Sc2,-0.9133,-55.7188
126951,Br10Co1Sm3Tb3,-1.8829,-83.545
126952,Ca1Cu4O8Y1,-1.8926,-90.9495
126953,Co6Gd12In1,-0.226,-218.8527
126954,Ac1Pt4Yb1,-1.0678,-36.3512
126955,Cr1Fe1O24Tc6,-1.8919,-259.5781
126956,Ac3Ni4Zn2,-0.3,-40.7037
126957,Cr1Lu1Se17Th7,-1.9523,-176.2607
126958,Bi12Dy4Er3Lu13,-0.6197,-157.4147
126959,Co1I12La5Tb1Yb1,-1.58,-87.85
126960,Ce1Pt18Tb9,-1.1537,-189.2218
126961,Er20Ir3Pt3Rh6,-0.8852,-208.594
126962,Fe12Ir4Mn4P12Tm4,-0.8126,-285.7571
126963,Al3Co1O20Ti4Y4,-3.5105,-287.0885
126964,Dy3Er3Pt4Y2,-0.9565,-76.2177
126965,Au20In4La8Mg2,-0.747,-144.3748
126966,Ce2Os1Tc5Th12,-0.21,-168.0637
126967,Ir4P3Pr2Si1,-1.0277,-76.8578
126968,Ho2P12Pr3Rh10Ru9,-0.971,-280.5345
126969,As12Fe6Pd10Y5Zr3,-0.8151,-245.8457
126970,La1Sb16Sc12Yb7,-1.0685,-196.2334
126971,Ho1N8Pa3Ta4,-1.6238,-173.2309
126972,Ag1Al1Cd2Ir4Nd8Pr8,-0.4275,-130.4309
126973,Er2Hg2Ni4Th2,-0.4999,-52.69
126974,Mo4N12Pr1Tm1Y2,-1.1058,-187.7269
126975,Ca3Rh7Sb6Sm1,-0.7875,-100.4471
126976,Lu11Sb12Tm4Y5,-0.942,-179.6575
126977,Hg7Si1Th6,-0.3288,-56.6377
126978,Cd1Hg1La2Nd2Pd4,-0.7728,-49.0825
126979,Bi1Dy6Ho4Si5,-0.68,-87.8675
126980,Co2Fe10P7Ti2,-0.6859,-167.0047
126981,Dy3Pr2Rh4Si12Y3,-0.928,-159.614
126982,Er10Ga4Te2,-0.7304,-75.7633
126983,Al4B24Sc4Tm4,-0.6499,-241.9155
126984,Ir4La8Li1Pt2,-0.7937,-100.8005
126985,Er2Ga1Ru2Tm1,-0.5156,-38.282
126986,Ga2Ho4Ru3Tc3,-0.4302,-88.4538
126987,Al2Ga1Ge2Os1Tm3,-0.7167,-50.8703
126988,Al23Dy2Lu4Os8V1,-0.5735,-234.1399
126989,O14Pd2Pt2Tb2Y2,-2.4026,-166.8328
126990,Ga18Ir4Pt2Tb2Y2,-0.6993,-143.7821
126991,Cl1Pr19Si15Tb1,-0.7245,-204.7803
126992,Co8Ga6Tb2Tm1Zn1,-0.3978,-97.1995
126993,Ac7Pr1Te8,-1.6965,-85.9202
126994,Be4Si12Sm2Y6,-0.6292,-143.3987
126995,La1Li2Pd4Pr3Zn2,-0.6309,-53.9068
126996,Bi1Co5Dy10Tb1Y1,-0.2796,-101.633
126997,Ag1Li11O48Pr12Te8,-2.6635,-556.9338
126998,Cu5Ni5Sm1Tb1,-0.2685,-61.9711
126999,Cu1Sc3Si2Zn3,-0.5653,-42.814
127000,Br12Ho2Si2Tb3Tm3,-1.8781,-108.3067
127001,Al8C4Mn3Ta12V1,-0.4856,-259.3308
127002,C2Pb6Tb4Th6,-0.5136,-112.9949
127003,Cd4Co1Dy5Ru3Tb11,-0.311,-120.0984
127004,In1Np3O10,-3.0881,-134.3083
127005,B4Ho2Lu2Mg2Rh10,-0.7946,-137.6604
127006,Ir11Ru1Tb15Y5,-0.7586,-232.619
127007,I10Pt1Sm2Tb4,-1.5354,-75.3878
127008,C8Er3Os2Tm5W2,-0.4132,-166.5322
127009,Cd1Hg1Pd4Tb3Y1,-0.8139,-50.4552
127010,Ba6K6P8Sc2,-0.8463,-92.7665
127011,Cd1Pd23Y8Zn1,-0.8547,-201.2554
127012,Cd4Ho4Pt2Ru2Tm12,-0.4944,-118.287
127013,Gd8Lu2P4Si4,-1.1034,-185.0292
127014,O12Sc2Sr4Tc2,-3.0431,-160.3813
127015,K1Mn1Se6Sn2,-0.8563,-47.8302
127016,B8Hf4Mo4Os6,-0.6024,-217.2639
127017,Ca3Ho9La8Si16,-0.7158,-199.3209
127018,Al3Ga1Lu3Pt1Zn1,-0.7861,-42.2332
127019,Ir4O14Pb1Yb3,-2.0495,-158.0447
127020,O12Ru2Yb8,-3.1003,-158.4478
127021,Dy1Ho1Pr8Ru4,-0.23,-87.7538
127022,Au2Lu2O14Tm4,-2.9379,-167.3974
127023,C12Fe1Gd6V3,-0.3546,-238.7018
127024,Al4C8Hg2Ho10,-0.4353,-145.6758
127025,Co1Lu3Tb3Te2,-0.7869,-47.9426
127026,Ir4Pa6Si4,-0.8392,-125.8919
127027,Hf1N12Nb4Ta5,-1.3924,-240.3223
127028,Pt1Rh3Yb20,-0.3675,-67.7757
127029,Bi6C2Ho2Y8,-0.7402,-116.0147
127030,Al1B16Dy5Ho4Si4,-0.6543,-193.3106
127031,Li4Na4P12Rb12Zr4,-0.6161,-146.0211
127032,Cr1Ga12Rh6Ta4Zr6,-0.6418,-207.506
127033,As7Co16Hf6P5Ru2,-0.694,-276.6882
127034,Ca1Mg4Sb8Sr7,-0.9704,-72.6735
127035,Al7Cu2Er1Sr1Y1,-0.4298,-52.2987
127036,Pa8Pt3Si13,-0.6895,-181.4078
127037,C1Er1Ho5Zn23,-0.3401,-75.8824
127038,As12Np1Os4,-0.2625,-118.2289
127039,Cr2Ga1Pt3Ru2,-0.2656,-61.2205
127040,Al7Ir4Mg4Zn1,-0.6017,-78.8611
127041,Ir6Lu1Si14Tm1,-0.7231,-153.8903
127042,Li1Mg3Ni4Si4,-0.3982,-56.3096
127043,Bi5Lu2O14Sm1,-2.4069,-155.4344
127044,Cd9Cu2Ni2Tb11,-0.3484,-87.4034
127045,Ga2Ho1Mg1Zn2,-0.3816,-17.0477
127046,C2Si6Ta3Ti5V2,-0.759,-157.8854
127047,Ag1Nd8Si15,-0.611,-137.0215
127048,P7Rh6Ru6Tb1Y1,-0.8814,-167.3355
127049,B1Co6U1Zr1,-0.3738,-72.5325
127050,Be2Co24Ho1La1,-0.1005,-190.4096
127051,F28Hf1Nd4V3,-3.8319,-247.7531
127052,Bi9Ho4Sb3Tm16,-0.72,-160.3805
127053,Co1Ho3I12Pr3Yb1,-1.513,-85.2858
127054,Co4Hf16Nb2P8,-0.922,-278.9174
127055,In1Ru1Tb1Zn3,-0.3368,-22.4603
127056,Ge8Ir4Pa1Th3,-0.7422,-115.9689
127057,Ho4Ir4Sn1Zr3,-0.8239,-93.2234
127058,Al18Ir6Nd2Tm1Zr1,-0.8466,-166.7156
127059,Dy1Ir6Mg1Si14,-0.6257,-148.9569
127060,Al18Ce3Ho1Rh6,-0.804,-156.5011
127061,Cd1O14P4U1,-2.7051,-157.2417
127062,Cr1Cu1Eu1Os2Sb12,-0.2522,-100.335
127063,Bi6Mn2Pa6Zr4,-0.2686,-137.778
127064,Hf18Ni2Os2Ta4Tc2,-0.2918,-289.5679
127065,Li4Si4Sn2Tb2Th2,-0.627,-70.2306
127066,Nd1Pa2Pd12V1,-0.6689,-105.7422
127067,B2Hf10Sb4Sn2,-0.6428,-149.0367
127068,Er2Os7Tm2W1,-0.3492,-113.8276
127069,Mo12Sc7Si16Zr1,-0.7274,-296.0152
127070,Cd1In5Lu2Ru2Y18,-0.3498,-168.4631
127071,O12Pd1Rh1Se4,-1.1375,-106.3791
127072,Pd5Zn21,-0.3044,-60.2674
127073,Mg3Nb6Ru12Si3,-0.4294,-203.2818
127074,B24Tc4U5Y3,-0.6354,-300.4787
127075,Co6Er1V6,-0.2051,-104.3878
127076,Cl12Ir4Nd11Pr1,-1.8605,-166.8619
127077,Al6Mg10Pd8,-0.6154,-94.6847
127078,Bi8Co4Dy1Er18Ho1,-0.5419,-168.3014
127079,In4Ir4O1Pr16,-0.705,-145.428
127080,Cu2Pt2Sb4Sr2,-0.6962,-47.1968
127081,Mg2Mn4Rh8V2,-0.3321,-122.245
127082,Al20Pd1Ru3Sr2,-0.4353,-122.6124
127083,Ce2La8Sn6,-0.691,-86.4682
127084,Au2Cl16Ga2Yb2,-1.6499,-81.558
127085,Cs3K1Mn4N8,-0.4915,-115.0011
127086,Cd4Pb1Pr1Sn1Y1,-0.3962,-25.8306
127087,B2Cr2F10,-3.0222,-94.0911
127088,Ag20Li3Mg3Nd8,-0.2793,-114.8212
127089,F4K1O40Rb3Si16Sr8,-3.3415,-550.527
127090,Ga16Ho1Sc12Sm7,-0.6009,-183.6837
127091,Hf8Hg2Re2Zn4,-0.257,-114.3046
127092,Er4In8Pt4Tb4Y2,-0.8219,-114.1205
127093,Ho3In3Ir1Pd2,-0.8047,-48.4425
127094,Hg2Si1Te4,-0.362,-21.1402
127095,As4Li1Pd1U2,-0.7024,-53.927
127096,Cr1Fe2Mn2P4W3,-0.465,-111.0244
127097,Ca2Ni7Si7Tc5,-0.5272,-145.3231
127098,Co1Ga2In3Tm3,-0.4895,-39.2522
127099,Al20Ni2Rh5Ru1,-0.6651,-151.1912
127100,Co4Ho4Ir16Si12,-0.8778,-284.8817
127101,Ag11Be1Ge12Yb12,-0.5373,-126.9403
127102,Ba6Lu4O18Te2,-3.1736,-220.156
127103,Br6Fe1O18Sc1,-0.7724,-133.7709
127104,Mo4N8Tm2U2,-1.2924,-162.2878
127105,Lu1Mo9Si16W3Yb7,-0.5079,-256.8737
127106,Ho1Ir3Mg3Y2,-0.651,-54.6909
127107,Hf1Mn1P4S12,-0.836,-105.4585
127108,Er8Lu2Rh2Ru2,-0.5209,-86.1538
127109,Cs2O7Pb2Si2,-2.4908,-87.0825
127110,Co2La2P4Rh1Ru1,-1.0587,-72.968
127111,Au4Cd4Eu1Na3,-0.3756,-35.5538
127112,Ga4Pd5Pr4Pt3,-0.9073,-89.8654
127113,Dy4Ir2Mg4Pt2,-0.802,-64.2705
127114,Pd6Si1Yb2,-0.8741,-47.4511
127115,Lu2Ni4P4Sr1Tb1,-1.1291,-73.6892
127116,Hg6In2La4O4,-1.809,-75.8059
127117,Au3Ba4Pt1Sb4,-0.9965,-52.0425
127118,Br12Pa1Rb4Rh1,-1.758,-72.0888
127119,Au4Er4Lu3Y1,-0.6669,-59.398
127120,Nd1Sb6Sr6Tm1,-1.1432,-60.16
127121,Ac8Gd12Sn16,-0.7796,-294.345
127122,Hf2Mo2Rb12Se16,-1.33,-151.868
127123,As4Eu1Hf3,-1.0618,-67.2944
127124,O12Ru1Te3Tl2,-1.4021,-108.0418
127125,Dy10Lu1Mg4Ru4Th5,-0.2831,-137.9511
127126,O2Sc2Se1,-3.3114,-42.6136
127127,Al8Ni4Ru3Tc1,-0.6947,-102.3845
127128,C8Re4Tb5Yb3,-0.2963,-157.3081
127129,Bi6Ca1Sm2Yb5,-0.8754,-54.7369
127130,Al1Ho4In1Zn2,-0.3978,-30.5287
127131,Br4F16Na4O4,-1.6667,-108.8976
127132,I6K3O18Sm1,-1.4377,-146.5117
127133,Au2Ba4I2In2,-1.0543,-33.3185
127134,Ag11Cr1Ge12Yb12,-0.5305,-132.6119
127135,Cu1Li6Pt12Si5,-0.7037,-132.436
127136,Ac1Rh6Sn10Tb3,-0.7088,-116.4816
127137,Bi3F28Ho1Ti4,-3.5067,-227.5968
127138,O24Pr7Sm1W4,-3.2232,-324.8041
127139,Ca1Li2Pb2Tm1,-0.4645,-20.5173
127140,Ce6Co16Mn2P12,-1.1106,-272.5952
127141,Dy1Nd1Pa2Sn2Zn10,-0.3142,-54.0486
127142,Ac1Ca8Pt6,-0.8799,-69.7906
127143,Eu1La1Pt4,-1.0429,-45.769
127144,In7K1Mg2Rh2,-0.2755,-41.607
127145,As4K10Pd1Pt1,-0.381,-47.0873
127146,Ac1In4Pt4Sr3,-0.7999,-54.0791
127147,Ga1Pd1Ru1Sc1,-0.71,-26.655
127148,Ce4Pb2Rh10,-0.6448,-115.1174
127149,Li4Nd3Si4Sn2Sr1,-0.6041,-61.8072
127150,Cd1Mg1Ni4Tb2Th2,-0.4183,-53.9236
127151,Ho12La1Pr7Sn16,-0.787,-185.8768
127152,Er13Ge2Nd7Si14,-0.7707,-205.7022
127153,Cl15Re1Th6,-2.3093,-135.4596
127154,Al8Ga2Ta18,-0.2709,-257.0468
127155,Lu4Sn16Tb15Tm1,-0.745,-183.05
127156,Bi1Co4Ru1Tm12,-0.3589,-101.7688
127157,Ba4Ir3O12Ta1,-2.4326,-154.0774
127158,Bi3Ho1Ir3O14Rh1,-1.7425,-157.7395
127159,Nb8Se16Sm1V1,-1.2835,-183.918
127160,Co1Ho2In3Pt2Tb1,-0.7929,-48.4404
127161,Ga10Ir7Zr12,-0.7869,-217.5419
127162,Ir1S17Sm1Th7,-2.1712,-192.2257
127163,Cd4La8Os2Pr8Pt2,-0.3991,-125.6023
127164,Hg2Pa1Pr3Pt4,-0.9155,-57.9033
127165,Mo2Na2S12Ta4,-1.415,-149.7047
127166,Fe4I2Nd1Sm1Th2,-0.5479,-66.7217
127167,Au1Bi6Zn1Zr10,-0.4454,-121.3683
127168,Li4Nd1Pb2Si4Y3,-0.6062,-69.417
127169,As4Cl4Ho2O10Pr2,-2.6944,-153.514
127170,Al2B2Ca1Nd1Ni6,-0.5258,-68.6136
127171,Ir1Pr2Rh5Si4,-1.024,-89.2114
127172,Er6Fe2Ge1Si5,-0.746,-86.5394
127173,Al18Ir6Pa2Pr1Sc1,-0.7888,-172.6813
127174,Al1B6Co20U2,-0.3127,-217.6401
127175,Hf8Nb11Si16Ti1,-0.7919,-313.9795
127176,Ho4Os1Re4Ru3,-0.3194,-110.9915
127177,Cd1Cu4Dy1,-0.2444,-23.3928
127178,Al1Sn9Ti7V5,-0.2815,-146.7118
127179,In1Rh10Th4Zr1,-0.8237,-127.7776
127180,Br10Co1Lu2Nd2Tb2,-1.883,-83.3354
127181,S12Ta6Tc2,-1.2948,-167.4015
127182,Au8Dy3Hg3Ho5Sn1,-0.7819,-83.4814
127183,Er2Ge1Ni12P6,-0.7446,-131.2367
127184,F28Gd4Pd2Pt2,-2.8641,-235.5178
127185,Cu4La11Si6,-0.5046,-113.8412
127186,N4Pt3Si5V12,-0.9322,-210.0643
127187,Al1Ga6Ho5Rh12,-0.8478,-153.5457
127188,Cr2O12Sr2Te2,-2.235,-128.577
127189,Al24Dy5Ir1Ru7Tm1,-0.6901,-217.387
127190,Bi9Ga3Lu18Sc2,-0.5854,-156.8702
127191,Er1Ga3Ru3Sm1U1,-0.5704,-62.6184
127192,Al2Er1Nd1Ni8,-0.5029,-69.1024
127193,Cd4Nd4O28Pd4Sb4,-2.0392,-288.2661
127194,Ag4Hg3In1Y8,-0.4292,-73.5917
127195,Ga6Pt18Y4,-0.8553,-177.2578
127196,Ca1Pd4Si12Tb7,-0.8709,-141.1709
127197,Al16Ir6Si2Y4,-0.8779,-174.2561
127198,Er2Pd1Pt3Sn2,-0.9869,-48.4427
127199,Ag1Cd3In2Tb3,-0.3932,-28.5468
127200,Nd8Se2Sn6Y2,-1.0891,-101.7315
127201,Ca2Nb6Se12,-1.4121,-134.8121
127202,Er2Lu2Os8,-0.3692,-112.4263
127203,As8Dy1Er3O18,-2.487,-219.2568
127204,Ce4Cs8F20,-3.6571,-186.1527
127205,Ir18Nb5Ti1,-0.6367,-232.7753
127206,Er19Ir6Mg1Pd6,-0.8123,-198.4906
127207,Ir1Pt4Ru7Tm20,-0.7296,-210.9065
127208,Co16Si6Tc1Zr6,-0.5915,-225.0839
127209,Hf4Ir1P4Rh3,-1.2008,-106.8225
127210,Ho1Pd5Rh1U1,-0.7721,-55.3146
127211,Os7Sc2Ti1Tm2,-0.4456,-113.4503
127212,Cu12P1Zn11Zr6,-0.3323,-129.7157
127213,As2Ge1Pd3Sc3,-1.0696,-58.1051
127214,Al16Pt8Sr2Tc1,-0.9108,-146.8276
127215,Cd4Nd1Pr1Sn2,-0.4468,-24.8341
127216,Ce1Cu24Ho3,-0.1721,-122.8813
127217,Dy11Er1Ni4Si8,-0.7382,-139.4813
127218,As7Co9Ru2Ti1Y2,-0.5771,-148.0842
127219,Ir16La4P14Tm4,-1.0622,-295.2109
127220,Al15Pd1Rh6Ti8,-0.7578,-191.4487
127221,La2O12Os1Pr4,-3.3417,-163.0907
127222,Cu3Ga2Ho2Ni1Si2,-0.5895,-50.0448
127223,Cu1Ga1Ru2Yb2,-0.3676,-30.961
127224,Cd3Dy18Hg3Ru2Y2,-0.3019,-126.537
127225,B24Er2Lu6Rh2W2,-0.6695,-261.3144
127226,Fe2In2Lu12Rh1,-0.3235,-89.5586
127227,Ce4Os1Pt5Si10,-0.9418,-138.4025
127228,Ce8Cu3Rh1Si12,-0.7219,-149.5565
127229,B24Ho4Pa1Re4Tm3,-0.6809,-275.8665
127230,Cu1Fe1Hf18Mo6W2,-0.1346,-286.5569
127231,B4Fe4Mn4O20Sc4,-2.7082,-319.0309
127232,Cd6Na1O7,-1.3634,-60.5839
127233,Ir12La14Nd6,-0.6722,-225.2843
127234,Cu11Se1Zn12Zr6,-0.3415,-125.2345
127235,Mo4O20Pa4,-3.0643,-266.1997
127236,Bi8Si4Tm19Y1,-0.6683,-165.7155
127237,B6Co21Sb1V1,-0.224,-209.0594
127238,Cs2O18Si6Ta2,-3.2315,-237.6037
127239,Ni16P12Pd3Tb5,-0.8833,-227.9511
127240,Br12Ce2Nd1P4Pr9,-1.9076,-154.3719
127241,N8Nb4Pr1Pu3,-1.4071,-177.1949
127242,Ag6Dy2Pt2Y18,-0.3568,-164.739
127243,C4Hf5Sc1Sn2,-0.8473,-111.2117
127244,As1Au1Ce10Sn6,-0.7026,-103.9677
127245,Ir1Pt1Tc2Y12,-0.3684,-119.1225
127246,Al18Ir1Pt4Rh1Tb4,-0.8803,-151.0938
127247,Nb1Si16Tb8W11,-0.552,-296.3938
127248,Hf2In2Pa2Rh10,-0.8479,-131.6559
127249,As1Pd5Pt19Sm8,-0.9046,-213.5074
127250,Al24Au2Pt7Tm3Yb1,-0.8019,-183.5771
127251,As4Ni4Pu2Zr2,-0.8609,-97.7187
127252,Hf6I18K4Os1,-1.2831,-140.053
127253,Co2O12Pt4,-1.0051,-115.9683
127254,Cs4Cu1Fe1Te8V2,-0.833,-72.7924
127255,B2Cu4In12Ir8,-0.1651,-137.7747
127256,As12Na1Nb3Ni16Y4,-0.6847,-230.533
127257,Dy6Eu2Rh4Si12,-0.8934,-164.2269
127258,Dy2Eu2Fe8Ir12P12,-0.7486,-295.5269
127259,Al2Ho3Li1Pd1Si2,-0.762,-46.0359
127260,Co14Er4Fe4P12Y2,-0.9453,-263.5922
127261,Ba6Br4O10Tc2,-2.669,-146.9807
127262,Er1Pb4Tb1,-0.3583,-26.2025
127263,Eu1I12Pt1Tb4Y2,-1.5985,-98.0913
127264,Mg1Pt4Tl3Tm16,-0.62,-119.3641
127265,Cs4Ge3Nd4Se16Ti1,-1.5033,-142.4457
127266,Ga5Lu1Pt1Sc2,-0.7859,-45.4706
127267,Cd6Ho16Ru1Tc1Y4,-0.2348,-130.9325
127268,Cu1In8Lu10Ru3,-0.4702,-109.4907
127269,Cd4Ho8Ir3Ru1Tm8,-0.4971,-123.8774
127270,Si6Y4Zn2,-0.6182,-68.3555
127271,Bi7Ir4Pb1Tb20,-0.7581,-183.2431
127272,Mg1Si8Tc6Tm3,-0.6729,-132.7054
127273,Dy1Lu4O24Tm3W4,-3.347,-327.1929
127274,Co9Fe1Mo2P7Tb2,-0.8505,-159.1583
127275,Dy2Eu2Pd8Si4,-0.901,-107.3534
127276,Au1Cd1Mg2Pb2Sm3,-0.5197,-33.6557
127277,Bi1Br12Cs6Y1,-1.9806,-74.9849
127278,Er7Ga1Sc12Si15Tm1,-0.7882,-225.2214
127279,As12Na20Si2Ti2,-0.4955,-126.8387
127280,Al3Pd2Si1Tb1Y2,-0.8465,-52.2078
127281,Ho6In8Rh4Y4,-0.6868,-119.9396
127282,Bi6Pr4Rh7,-0.5699,-103.7025
127283,Ir2Li6Os4Y12,-0.3305,-159.5704
127284,Hf1Li12O14Sn1Zr2,-2.7393,-205.4208
127285,Dy8Mo9Re1Si16Ti2,-0.7135,-275.1906
127286,Er2Fe3In2Lu10,-0.2039,-88.724
127287,Al1Ga3Sc1V2,-0.4049,-40.1643
127288,Bi2Nd2O20Pr4Si4,-3.3533,-264.405
127289,Au1Lu3Rh1Ru1Sn3,-0.7883,-52.5986
127290,Co11Hf6Rh1Si16Zr2,-0.7884,-277.5809
127291,Ni4Pd2Rh6Sn8,-0.4276,-118.2947
127292,Dy6In8Pt2Rh2Tm4,-0.7538,-111.0111
127293,Ce1Sb3Th2,-1.0625,-39.523
127294,Ce1P8S8U7,-1.4009,-194.9937
127295,Co4Hf3Zn1,-0.3827,-62.6258
127296,Cr1Os6W1Y4,-0.2607,-118.9694
127297,Ag1Cd3Dy15Ho1Ir3Ni1,-0.468,-122.8129
127298,Ho7O12Rh1,-3.6795,-172.4063
127299,Ag3Er10Ir4Mg1Y6,-0.5137,-142.1574
127300,Al9Ho6Ir8Ti7,-0.8673,-213.1989
127301,Lu5P12Rh16Ta3,-1.0641,-279.2734
127302,Au1Ho8Sc12Si15,-0.8267,-227.0651
127303,Al16Co1Hf6Pt5Rh1,-0.8279,-188.5096
127304,Ba6Co2O28P4Te2Zn4,-2.5876,-316.2825
127305,Ga12Lu2Pt4Tm6,-0.8915,-117.9144
127306,Ac4Ge1Ir3Mg4,-0.5551,-60.1887
127307,B1Ir6Y1Zr1,-0.7406,-81.3894
127308,Hf6Pt2Rh8,-0.9665,-146.2633
127309,Ca1Hg3O14P4,-2.2888,-144.195
127310,Cs4Mn2S2Se2,-1.1376,-48.5463
127311,B4Be2Co4Ni5Tm3,-0.5402,-114.6809
127312,Nd2Sn2Tb2Zn10,-0.4593,-46.7706
127313,Ho4N12Re3Ta1,-1.0499,-188.5571
127314,Be24Cu2U2,-0.0817,-122.8139
127315,C7Ho4Tm1W2,-0.3884,-118.7472
127316,Bi8Dy7Ho13Ir4,-0.7701,-182.9349
127317,Al2Rh4Tb4Zn2,-0.8225,-67.8755
127318,Bi4La6Pa2Sb6,-1.0051,-107.0707
127319,Ag12C4Tb12,-0.3203,-135.4797
127320,Bi2Co1Dy3Sc3,-0.5084,-52.282
127321,Ac17La3Pd1Si15,-0.5655,-191.7864
127322,Hg1Lu9Sb5Tb1,-0.8187,-79.3705
127323,Co4Hf16Pt2W2,-0.4263,-236.0375
127324,Er3Ir2La2O14Tm1,-3.1504,-184.3084
127325,Al4Lu2Pd4Tb2,-0.8888,-64.6787
127326,Cu5Ga1P2Rb1,-0.1956,-37.0919
127327,Ag2Cu1Ta1Te4,-0.4617,-37.8887
127328,Dy16Hg2In2Pt4,-0.6642,-120.0434
127329,Ho3In3Pd1Pt1Sn1,-0.8088,-44.5417
127330,Br28Si2Th12,-1.9602,-227.9797
127331,Er2Lu2Rh1Ru3Si4,-0.928,-86.2024
127332,La6Pr8Rh6,-0.5094,-122.2371
127333,Lu8Sc9Si16Tc3,-0.7953,-239.6773
127334,Dy5Sm1Sn16Y14,-0.7704,-210.1705
127335,Dy3Mo4N8Zr1,-1.3092,-153.3899
127336,O12Ru2Y5,-3.137,-169.8597
127337,Ba2Li2Pu2S6,-2.0132,-85.1691
127338,Ir8La4Sn16,-0.5727,-170.641
127339,Ir12Tb15Y2Yb3,-0.7615,-217.497
127340,Bi12Er9Tm3Y8,-0.6827,-174.7947
127341,Ga5Hf2Se1Ti4Zr4,-0.6325,-114.4432
127342,Co4P12Ru14Tb6,-0.9264,-284.3924
127343,Ce2Ho1Ni3Zn3,-0.4319,-41.4552
127344,La1P8Pr3Pt24,-0.7444,-235.0842
127345,Ba10I5Pt4S1,-1.39,-83.0291
127346,Ge2Nb4Pt2Ru2Si2,-0.634,-98.8
127347,Ce1Ho2Ni3Sn3,-0.7391,-51.1191
127348,In1Lu4Sb5Y6,-0.9016,-94.7048
127349,Au3Ca1Pd2,-0.4743,-25.0328
127350,Cu6Ga6Y1,-0.2908,-53.0102
127351,Er2Ir3Mg3Yb1,-0.6133,-47.5106
127352,Co4Nd1Os2Pr3,-0.0858,-70.8567
127353,C4Tb12Zn12,-0.3709,-118.022
127354,B8Li2Ru10Zr2,-0.4507,-177.007
127355,C8Th4W4Y4,-0.3186,-187.5408
127356,Cd8Ni4Tb5Tm5,-0.3901,-84.6373
127357,Ga20Tm8Zr4,-0.6351,-150.8835
127358,Mg3Pd2Ru1Th3,-0.5212,-51.3672
127359,Bi4Nd10Pb2Se2,-1.0934,-97.3403
127360,Cd1Ho1In1Tb1,-0.4047,-14.5103
127361,Rh8Sm3Th5,-0.8788,-124.1996
127362,Er3Pr17Si15Tc1,-0.6383,-209.6988
127363,Ho3Ir17Na2Ni2P12,-0.6987,-268.3188
127364,Mg2Pb2Pt1Sc1Sm3,-0.6188,-42.7541
127365,Er3Li3Si4Zn1,-0.5537,-48.4817
127366,Ir16La4P14Y4,-1.0678,-303.3883
127367,Al16Co1Hf6Pt6,-0.8282,-187.2225
127368,Al8C4Nb12Re4,-0.4568,-250.6561
127369,Hg4Ho8Si4Tm2,-0.6133,-79.5664
127370,Al1La1Rh3Yb1,-0.8441,-37.3789
127371,Au3Ni1O14Y4,-2.116,-157.2919
127372,Cs4Ge1Se16Si3Sm4,-1.4914,-141.0496
127373,Bi8Er15Sb4Tb5,-0.7792,-164.2581
127374,Al24Hf2Pt9Sr2,-0.7931,-197.1712
